id	sym	A2058_Control_1_RNA	A2058_Control_2_RNA	A2058_Control_3_RNA	A2058_VitC_1_RNA	A2058_VitC_2_RNA	A2058_VitC_3_RNA
ENSG00000000003	TSPAN6	2039	1280	859	1308	1708	1061
ENSG00000000005	TNMD	1	0	0	2	1	2
ENSG00000000419	DPM1	3789	2414	1542	2142	2784	1731
ENSG00000000457	SCYL3	1069	756	418	672	920	623
ENSG00000000460	C1orf112	2103	1262	721	1284	1555	917
ENSG00000000938	FGR	0	1	1	0	1	4
ENSG00000000971	CFH	877	566	333	1016	1326	892
ENSG00000001036	FUCA2	5745	3344	2062	3636	5004	3225
ENSG00000001084	GCLC	2252	1404	900	1227	1572	935
ENSG00000001167	NFYA	2829	1781	1094	1721	2015	1173
ENSG00000001460	STPG1	440	251	127	198	271	190
ENSG00000001461	NIPAL3	7534	4805	2787	4530	5573	3575
ENSG00000001497	LAS1L	1712	1069	687	1068	1244	920
ENSG00000001561	ENPP4	1	1	1	2	1	7
ENSG00000001617	SEMA3F	32	13	10	6	9	3
ENSG00000001626	CFTR	16	12	6	9	14	11
ENSG00000001629	ANKIB1	7847	5058	3041	5838	7368	4675
ENSG00000001630	CYP51A1	39	30	33	20	45	40
ENSG00000001631	KRIT1	5056	3490	2171	3416	4398	2355
ENSG00000002016	RAD52	388	272	143	217	314	193
ENSG00000002079	MYH16	13	5	4	3	2	7
ENSG00000002330	BAD	203	120	72	120	177	100
ENSG00000002549	LAP3	4292	2561	1527	2882	3555	2327
ENSG00000002586	CD99	2383	1251	825	1246	1702	1290
ENSG00000002587	HS3ST1	213	135	81	62	89	65
ENSG00000002726	AOC1	0	0	0	0	0	1
ENSG00000002745	WNT16	1	1	3	2	3	1
ENSG00000002746	HECW1	4	7	0	2	12	15
ENSG00000002822	MAD1L1	2948	1811	1098	1730	2279	1590
ENSG00000002834	LASP1	6356	4024	2456	3648	4420	2877
ENSG00000002919	SNX11	375	236	133	250	329	199
ENSG00000002933	TMEM176A	0	1	0	3	0	1
ENSG00000003056	M6PR	11506	7788	4526	6510	8885	6344
ENSG00000003096	KLHL13	712	385	211	393	471	273
ENSG00000003137	CYP26B1	2	2	0	0	3	1
ENSG00000003147	ICA1	547	375	264	407	516	345
ENSG00000003249	DBNDD1	635	370	226	288	340	200
ENSG00000003393	ALS2	2966	1821	1100	1856	2392	1578
ENSG00000003400	CASP10	283	152	103	224	263	175
ENSG00000003402	CFLAR	2044	1440	914	1442	1927	1131
ENSG00000003436	TFPI	1938	1244	825	1273	1726	1028
ENSG00000003509	NDUFAF7	1251	789	495	758	1003	549
ENSG00000003756	RBM5	4786	2947	1851	2771	3599	2459
ENSG00000003987	MTMR7	10	3	0	6	5	13
ENSG00000003989	SLC7A2	12409	8080	4665	7935	10460	6184
ENSG00000004059	ARF5	457	280	192	295	494	414
ENSG00000004139	SARM1	340	227	125	136	173	126
ENSG00000004142	POLDIP2	2953	1724	1015	1755	2234	1552
ENSG00000004399	PLXND1	1345	856	474	843	1161	632
ENSG00000004455	AK2	7011	4855	3016	4082	5384	3590
ENSG00000004468	CD38	57	23	21	25	31	35
ENSG00000004478	FKBP4	7098	4172	2727	3693	4597	3134
ENSG00000004487	KDM1A	7253	4427	2804	4189	5300	3483
ENSG00000004534	RBM6	5300	3385	2061	3059	3767	2632
ENSG00000004660	CAMKK1	137	95	44	53	83	54
ENSG00000004700	RECQL	10307	6453	3965	7059	8565	5771
ENSG00000004766	VPS50	3390	2215	1346	2202	2747	1716
ENSG00000004776	HSPB6	1	1	0	0	0	0
ENSG00000004777	ARHGAP33	31	12	4	15	36	11
ENSG00000004779	NDUFAB1	5302	3321	2125	2859	3707	2205
ENSG00000004799	PDK4	15160	10252	6300	5242	6618	4253
ENSG00000004809	SLC22A16	2	2	3	1	4	7
ENSG00000004838	ZMYND10	12	5	4	4	10	13
ENSG00000004846	ABCB5	78	65	40	73	89	81
ENSG00000004848	ARX	0	1	0	0	1	5
ENSG00000004864	SLC25A13	6605	4053	2533	4056	5330	3301
ENSG00000004866	ST7	1836	1052	632	1067	1401	890
ENSG00000004897	CDC27	17281	11130	6595	11458	14088	8968
ENSG00000004939	SLC4A1	1	1	0	0	0	3
ENSG00000004948	CALCR	5	6	3	1	5	7
ENSG00000004961	HCCS	1068	730	437	746	823	564
ENSG00000004975	DVL2	1500	960	612	942	1224	696
ENSG00000005001	PRSS22	0	0	0	0	0	0
ENSG00000005007	UPF1	2953	1762	1023	1702	2233	1394
ENSG00000005020	SKAP2	4314	2929	1758	2962	3604	2064
ENSG00000005022	SLC25A5	6695	3826	2364	3578	4775	2706
ENSG00000005059	CCDC109B	518	298	196	281	430	232
ENSG00000005073	HOXA11	191	131	55	180	228	161
ENSG00000005075	POLR2J	1363	801	473	729	830	542
ENSG00000005100	DHX33	4948	3144	1822	2882	3285	2134
ENSG00000005102	MEOX1	4	3	4	5	8	4
ENSG00000005108	THSD7A	31	20	12	14	27	24
ENSG00000005156	LIG3	2723	1733	971	1750	2221	1398
ENSG00000005175	RPAP3	3673	2454	1482	2290	2977	1752
ENSG00000005187	ACSM3	4	7	4	1	6	5
ENSG00000005189	AC004381.6	417	217	126	257	300	164
ENSG00000005194	CIAPIN1	2358	1371	873	1443	1755	1449
ENSG00000005206	SPPL2B	156	91	48	71	126	62
ENSG00000005238	FAM214B	472	310	178	314	399	221
ENSG00000005243	COPZ2	341	178	153	178	283	200
ENSG00000005249	PRKAR2B	6227	3864	2361	3356	4385	2585
ENSG00000005302	MSL3	1059	672	378	635	805	574
ENSG00000005339	CREBBP	2331	1696	892	1425	1671	874
ENSG00000005379	TSPOAP1	3	2	2	0	4	4
ENSG00000005381	MPO	0	1	0	1	2	1
ENSG00000005421	PON1	9	7	6	6	13	9
ENSG00000005436	GCFC2	2023	1365	828	1365	1653	1020
ENSG00000005448	WDR54	415	236	161	192	266	137
ENSG00000005469	CROT	587	428	175	418	486	361
ENSG00000005471	ABCB4	11	5	10	7	8	8
ENSG00000005483	KMT2E	5379	3704	2171	3658	4386	2763
ENSG00000005486	RHBDD2	156	101	65	81	109	55
ENSG00000005513	SOX8	574	337	198	349	413	297
ENSG00000005700	IBTK	4728	2972	1627	3004	3707	2203
ENSG00000005801	ZNF195	1438	888	528	809	1100	590
ENSG00000005810	MYCBP2	12817	8615	4967	8113	9975	6275
ENSG00000005812	FBXL3	5142	3291	2076	3728	4677	2659
ENSG00000005844	ITGAL	0	3	0	0	0	2
ENSG00000005882	PDK2	209	115	90	96	119	72
ENSG00000005884	ITGA3	7583	4505	2634	4926	6637	4448
ENSG00000005889	ZFX	4336	2928	1694	2788	3668	2207
ENSG00000005893	LAMP2	18950	12183	7174	11451	14979	8568
ENSG00000005961	ITGA2B	18	3	1	5	4	6
ENSG00000005981	ASB4	506	329	192	377	524	294
ENSG00000006007	GDE1	3196	2045	1234	1889	2363	1437
ENSG00000006015	C19orf60	284	166	109	156	238	158
ENSG00000006016	CRLF1	8	11	9	8	7	7
ENSG00000006025	OSBPL7	288	171	96	181	231	135
ENSG00000006042	TMEM98	245	147	85	158	213	133
ENSG00000006047	YBX2	30	12	11	8	12	5
ENSG00000006059	KRT33A	0	0	0	0	0	0
ENSG00000006062	MAP3K14	142	95	64	88	131	63
ENSG00000006071	ABCC8	0	2	1	0	3	1
ENSG00000006116	CACNG3	2	0	0	0	0	2
ENSG00000006118	TMEM132A	746	441	261	369	451	381
ENSG00000006125	AP2B1	3125	2133	1074	2000	2531	1420
ENSG00000006128	TAC1	0	0	1	0	2	2
ENSG00000006194	ZNF263	1263	824	493	720	915	723
ENSG00000006210	CX3CL1	165	93	58	104	133	63
ENSG00000006282	SPATA20	869	532	349	586	737	420
ENSG00000006283	CACNA1G	12	7	6	2	0	4
ENSG00000006327	TNFRSF12A	934	535	311	431	599	341
ENSG00000006377	DLX6	183	109	66	88	128	90
ENSG00000006432	MAP3K9	62	37	20	19	27	12
ENSG00000006451	RALA	2449	1699	1010	1659	1826	1150
ENSG00000006453	BAIAP2L1	1246	793	486	686	837	501
ENSG00000006459	KDM7A	1193	883	539	781	1089	596
ENSG00000006468	ETV1	6181	4123	2522	4821	5983	4048
ENSG00000006530	AGK	1402	872	520	762	1030	634
ENSG00000006534	ALDH3B1	154	95	57	90	140	91
ENSG00000006555	TTC22	0	0	0	1	0	0
ENSG00000006576	PHTF2	2309	1488	901	1420	1853	1121
ENSG00000006606	CCL26	3	0	0	0	1	0
ENSG00000006607	FARP2	7349	4943	2949	4378	5540	3336
ENSG00000006611	USH1C	2	3	0	1	0	2
ENSG00000006625	GGCT	3845	2377	1566	2318	2774	2422
ENSG00000006634	DBF4	5879	3818	2442	3600	4558	2861
ENSG00000006638	TBXA2R	11	12	7	9	20	22
ENSG00000006652	IFRD1	5627	3394	2230	3189	4127	2969
ENSG00000006659	LGALS14	0	2	0	2	1	1
ENSG00000006695	COX10	1181	851	465	817	1017	745
ENSG00000006704	GTF2IRD1	481	299	225	269	353	166
ENSG00000006712	PAF1	2574	1667	1025	1789	2078	1425
ENSG00000006715	VPS41	6929	4360	2727	4761	5958	3641
ENSG00000006740	ARHGAP44	3	10	3	5	11	10
ENSG00000006744	ELAC2	6012	3548	2183	3335	4113	2597
ENSG00000006747	SCIN	14	9	3	18	35	27
ENSG00000006756	ARSD	783	452	269	446	603	367
ENSG00000006757	PNPLA4	182	103	67	98	141	77
ENSG00000006788	MYH13	4	1	0	1	6	6
ENSG00000006831	ADIPOR2	4612	2966	1676	2761	3497	2347
ENSG00000006837	CDKL3	25	30	12	33	24	17
ENSG00000007001	UPP2	7	6	4	1	3	3
ENSG00000007038	PRSS21	0	0	0	0	0	0
ENSG00000007047	MARK4	328	209	127	182	231	112
