id	sym	ME-1_DMSO_rep1	ME-1_DMSO_rep2	ME-1_DMSO_rep3	ME-1_AI-10-49_rep1	ME-1_AI-10-49_rep2	ME-1_AI-10-49_rep3
ENSG00000000003	TSPAN6	4	2	3	1	3	0
ENSG00000000005	TNMD	0	0	0	0	1	0
ENSG00000000419	DPM1	850	838	958	1425	1334	1424
ENSG00000000457	SCYL3	331	301	299	611	648	685
ENSG00000000460	C1orf112	287	346	304	359	366	390
ENSG00000000938	FGR	95	134	91	81	91	77
ENSG00000001036	FUCA2	700	692	764	489	484	476
ENSG00000001084	GCLC	971	1017	1013	865	907	836
ENSG00000001167	NFYA	1454	1510	1528	1216	1161	1118
ENSG00000001460	STPG1	116	129	107	139	143	147
ENSG00000001461	NIPAL3	785	741	742	954	1007	1010
ENSG00000001497	LAS1L	1195	1418	1163	879	907	815
ENSG00000001617	SEMA3F	31	46	37	111	123	115
ENSG00000001629	ANKIB1	908	960	894	909	921	896
ENSG00000001630	CYP51A1	184	170	216	471	475	478
ENSG00000001631	KRIT1	1143	1225	1109	1251	1306	1225
ENSG00000002016	RAD52	305	369	281	395	404	361
ENSG00000002079	MYH16	0	0	1	2	1	0
ENSG00000002330	BAD	133	154	184	141	167	154
ENSG00000002549	LAP3	1067	1118	1081	1023	1035	985
ENSG00000002587	HS3ST1	2	5	8	4	10	4
ENSG00000002745	WNT16	0	0	2	1	0	0
ENSG00000002746	HECW1	0	0	0	0	0	1
ENSG00000002822	MAD1L1	523	567	602	731	801	721
ENSG00000002834	LASP1	2906	2797	2842	2843	2962	2768
ENSG00000002919	SNX11	441	436	435	592	665	559
ENSG00000003056	M6PR	2941	3125	3117	1897	2037	1877
ENSG00000003096	KLHL13	2	0	1	0	1	0
ENSG00000003147	ICA1	3	12	7	6	13	11
ENSG00000003249	DBNDD1	19	15	15	27	33	23
ENSG00000003393	ALS2	1473	1637	1447	854	869	843
ENSG00000003400	CASP10	155	159	172	261	297	272
ENSG00000003402	CFLAR	425	477	377	531	533	508
ENSG00000003436	TFPI	220	219	197	484	453	448
ENSG00000003509	NDUFAF7	288	320	257	310	322	332
ENSG00000003756	RBM5	1868	2126	1694	2642	2817	2627
ENSG00000003987	MTMR7	62	82	66	86	89	87
ENSG00000004059	ARF5	974	1017	1110	823	935	845
ENSG00000004139	SARM1	3	2	0	1	1	0
ENSG00000004142	POLDIP2	1796	1915	1980	1442	1524	1478
ENSG00000004399	PLXND1	4499	5175	4347	2433	2784	2430
ENSG00000004455	AK2	3630	3695	4045	3079	3299	3301
ENSG00000004468	CD38	71	70	57	57	65	66
ENSG00000004478	FKBP4	3255	3626	4029	1550	1644	1605
ENSG00000004487	KDM1A	3048	3104	3000	2075	2199	2071
ENSG00000004534	RBM6	2108	2499	1928	1778	1947	1690
ENSG00000004660	CAMKK1	179	227	178	37	37	40
ENSG00000004700	RECQL	920	954	988	753	862	794
