id	sym	NKX2_positive_1	NKX2_positive_2	NKX2_positive_3	NKX2_negative_1	NKX2_negative_2	NKX2_negative_3
ENSMUSG00000000001	Gnai3	4236.83	3510.02	4469.27	3246.02	2930.04	499
ENSMUSG00000000028	Cdc45	119	60	108	65	33	6
ENSMUSG00000000031	H19	4	2	5	8	4	6
ENSMUSG00000000049	Apoh	0	0	0	1	0	1
ENSMUSG00000000056	Narf	925.19	776.19	851.67	514.89	575.96	85.25
ENSMUSG00000000058	Cav2	2055.89	1028.91	1538	1971.41	2197.98	353
ENSMUSG00000000078	Klf6	19253.54	15797.92	15285.21	32954.02	26919.5	4645.69
ENSMUSG00000000085	Scmh1	461.08	496.26	462.52	594.45	612.91	109.42
ENSMUSG00000000088	Cox5a	1290	787.97	854	1549.07	1827	255
ENSMUSG00000000093	Tbx2	99	9	12	13	6	1
ENSMUSG00000000094	Tbx4	47	3.02	4.99	3	2.44	2
ENSMUSG00000000120	Ngfr	5.98	0.37	3.05	28.25	12.14	5.05
ENSMUSG00000000125	Wnt3	0	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	49	25	10	16	20	2
ENSMUSG00000000127	Fer	563	551.01	617.05	428.95	452.97	87
ENSMUSG00000000131	Xpo6	1188.6	558.99	665.15	894	886	138
ENSMUSG00000000142	Axin2	159	127	111.98	35	18	4
ENSMUSG00000000148	Brat1	306.45	124.95	134.72	175.05	167.7	35.65
ENSMUSG00000000149	Gna12	1301	455	526	570	568	80
ENSMUSG00000000154	Slc22a18	182	129	137	618.01	740	111
ENSMUSG00000000157	Itgb2l	0	2	0	0	0	0
ENSMUSG00000000159	Igsf5	1639.78	2306.68	2388.68	1425	1518.74	282
ENSMUSG00000000167	Pih1d2	88.26	45.45	75.46	28.55	25.05	16.83
ENSMUSG00000000168	Dlat	1188	728	855.05	967.7	1028.99	177
ENSMUSG00000000171	Sdhd	1564	1302	1415	2414.01	2796	468
ENSMUSG00000000182	Fgf23	3	0	0	0	0	1
ENSMUSG00000000183	Fgf6	0	0	0	0	0	2.01
ENSMUSG00000000184	Ccnd2	1498	338	237.68	2760.1	2617.05	538.98
ENSMUSG00000000194	Gpr107	1407.64	1004.37	956.08	1060.8	1020.29	173.29
ENSMUSG00000000197	Nalcn	0	1	0	6	1	4
ENSMUSG00000000202	Btbd17	7	4	4	14	20	0
ENSMUSG00000000204	Slfn4	137.89	5.08	9.91	250.04	97.99	21.39
ENSMUSG00000000214	Th	0.28	0	0	5.01	0	1
ENSMUSG00000000215	Ins2	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	780	433	250	55	54	11
ENSMUSG00000000244	Tspan32	105	8	14.08	5	0	2
ENSMUSG00000000247	Lhx2	11	1	0	1	0	0
ENSMUSG00000000248	Clec2g	4.08	8.56	5.7	21.58	12.37	9.24
ENSMUSG00000000253	Gmpr	773	232	212	56	22	13
ENSMUSG00000000263	Glra1	0	0	0	0	0	0
ENSMUSG00000000275	Trim25	1326.63	539.47	525.11	2873.98	2572	511
ENSMUSG00000000276	Dgke	628.09	423.58	419.61	330.44	290.18	66.48
ENSMUSG00000000278	Scpep1	981	493	602	489	370	82
ENSMUSG00000000282	Mnt	211	90	65	118	154.97	28
ENSMUSG00000000290	Itgb2	7009.95	141	144	486	15	47
ENSMUSG00000000295	Hddc2	222.2	234.58	232	225.96	255	42
ENSMUSG00000000296	Tpd52l1	15	24	10	116	147	19
ENSMUSG00000000301	Pemt	30	22	36.01	41	34	2
ENSMUSG00000000303	Cdh1	11558.3	6714.39	7815.77	15420.77	15678.78	2810
ENSMUSG00000000305	Cdh4	14	6	11	4	4	1.98
ENSMUSG00000000308	Ckmt1	1054.44	1227	1016	5663	6171.99	1020.42
ENSMUSG00000000317	Bcl6b	60	6	17	13	0	3
ENSMUSG00000000318	Clec10a	23.87	9.78	1	2.28	9.01	1
ENSMUSG00000000320	Alox12	18.76	12.87	15.91	17.93	15.96	4.09
ENSMUSG00000000325	Arvcf	190.32	78.62	95.65	80.11	90.28	20.07
ENSMUSG00000000326	Comt	1900.66	1233.15	1321.45	745.06	736.22	150.9
ENSMUSG00000000339	Rtca	313	262	248	248	237.99	45
ENSMUSG00000000340	Dbt	530.38	569.23	892.37	374.82	319.51	73.85
ENSMUSG00000000346	Dazap2	2845.93	2183	2139	3076.82	3398.98	516
ENSMUSG00000000359	Rem1	24	1	0	0	0	0
ENSMUSG00000000365	Rnf17	8	1	2	8	11	2
ENSMUSG00000000374	Trappc10	1493	1033	964	1014	952	159
ENSMUSG00000000378	Ccm2	502	259	289	233	240	39
ENSMUSG00000000381	Wap	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	329.14	191.11	190.94	327.76	364.85	60.8
ENSMUSG00000000385	Tmprss2	1557.24	722	1046	7824.11	7440.15	1477.01
ENSMUSG00000000386	Mx1	68.49	80.28	75.69	97.85	108.95	26.95
ENSMUSG00000000392	Fap	24.6	12.09	22.16	6.53	3.03	12.05
ENSMUSG00000000394	Gcg	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	1104.99	921.14	1196	1082.05	1306	225
ENSMUSG00000000409	Lck	71	11	11	26	7	3
ENSMUSG00000000411	Tssk3	1	2	0	0	0	1
ENSMUSG00000000416	Cttnbp2	7.36	7	3	110	86	30
ENSMUSG00000000420	Galnt1	3354.6	2747	3278.44	2268	2431.28	407.98
ENSMUSG00000000435	Myf5	0	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	609.72	539.62	497.88	520.62	466.78	113.23
ENSMUSG00000000440	Pparg	1224.24	156	86	1673.18	1738.97	316
ENSMUSG00000000441	Raf1	3104.75	1814.28	1857.96	1999.39	1874.35	395.68
ENSMUSG00000000486	Sept1	57	10	6	7	5	3
ENSMUSG00000000489	Pdgfb	506.98	149	125.16	129	129.98	23
ENSMUSG00000000530	Acvrl1	587	40	64	126	22	11
ENSMUSG00000000531	Grasp	745.24	380.9	344.54	447.06	392.04	48.03
ENSMUSG00000000532	Acvr1b	1614	1127	872	935	1054	144
ENSMUSG00000000538	Tom1l2	948	496	544.99	616	677.02	116
ENSMUSG00000000544	Gpa33	60	6	18	2609.43	3042	451
ENSMUSG00000000552	Zfp385a	59	8	3	12	0	2
ENSMUSG00000000555	Itga5	294.42	71.68	48	43	10	14
ENSMUSG00000000560	Gabra2	0	1.16	1.03	4.56	3.35	5.04
ENSMUSG00000000561	Wdr77	799.88	607.63	719.02	580.5	501.9	113.03
