id	sym	MRTrep1	MRTrep2	MRTrep3	Controlrep1	Controlrep2	Controlrep3
ENSG00000000003	TSPAN6	0	0	0	0	0	0
ENSG00000000005	TNMD	0	0	0	0	0	0
ENSG00000000419	DPM1	212	50	232	228	219	169
ENSG00000000457	SCYL3	157	43	121	70	131	77
ENSG00000000460	C1orf112	8	5	11	21	6	10
ENSG00000000938	FGR	1285	448	1425	898	890	811
ENSG00000000971	CFH	0	0	1	0	0	0
ENSG00000001036	FUCA2	174	100	235	164	145	132
ENSG00000001084	GCLC	382	164	492	255	299	243
ENSG00000001167	NFYA	148	54	129	132	91	85
ENSG00000001460	STPG1	203	43	191	298	248	206
ENSG00000001461	NIPAL3	550	272	574	444	521	356
ENSG00000001497	LAS1L	181	157	195	223	173	155
ENSG00000001561	ENPP4	0	0	0	0	0	0
ENSG00000001617	SEMA3F	193	91	229	217	233	172
ENSG00000001626	CFTR	0	0	0	0	0	0
ENSG00000001629	ANKIB1	365	128	306	232	269	259
ENSG00000001630	CYP51A1	0	0	2	1	0	0
ENSG00000001631	KRIT1	316	117	288	283	236	196
ENSG00000002016	RAD52	171	64	146	96	108	88
ENSG00000002079	MYH16	0	0	0	1	1	0
ENSG00000002330	BAD	103	41	99	94	142	74
ENSG00000002549	LAP3	466	168	394	404	499	372
ENSG00000002586	CD99	0	0	0	0	0	0
ENSG00000002587	HS3ST1	26	2	20	18	24	14
ENSG00000002726	AOC1	0	0	0	0	0	0
ENSG00000002745	WNT16	0	0	0	0	0	0
ENSG00000002746	HECW1	6	0	4	3	5	4
ENSG00000002822	MAD1L1	758	267	761	485	761	493
ENSG00000002834	LASP1	70	31	59	47	58	41
ENSG00000002919	SNX11	935	384	1189	906	926	665
ENSG00000002933	TMEM176A	0	0	0	0	0	0
ENSG00000003056	M6PR	215	92	172	169	176	130
ENSG00000003096	KLHL13	6	7	15	11	9	6
ENSG00000003137	CYP26B1	0	0	0	1	2	1
ENSG00000003147	ICA1	11	2	5	11	18	5
ENSG00000003249	DBNDD1	16	7	4	7	8	9
ENSG00000003393	ALS2	83	31	77	90	48	50
ENSG00000003400	CASP10	188	83	208	176	181	144
ENSG00000003402	CFLAR	2122	997	2520	1646	1309	1138
ENSG00000003436	TFPI	16	3	10	4	28	9
ENSG00000003509	NDUFAF7	66	36	77	77	92	61
ENSG00000003756	RBM5	779	468	620	466	530	429
ENSG00000003987	MTMR7	11	9	11	13	17	11
ENSG00000003989	SLC7A2	16	4	10	17	24	15
ENSG00000004059	ARF5	0	2	0	0	0	1
ENSG00000004139	SARM1	0	0	0	1	0	0
ENSG00000004142	POLDIP2	489	248	560	570	448	398
ENSG00000004399	PLXND1	930	374	924	741	1031	780
ENSG00000004455	AK2	6970	3439	8913	5307	5213	4719
ENSG00000004468	CD38	418	207	506	810	486	515
ENSG00000004478	FKBP4	145	125	192	217	148	147
ENSG00000004487	KDM1A	344	165	338	375	269	394
ENSG00000004534	RBM6	707	298	671	536	495	426
ENSG00000004660	CAMKK1	16	16	25	21	16	10
ENSG00000004700	RECQL	19	14	33	40	32	36
ENSG00000004766	VPS50	69	26	90	68	56	61
ENSG00000004776	HSPB6	0	0	0	0	0	0
ENSG00000004777	ARHGAP33	123	70	145	92	111	94
ENSG00000004779	NDUFAB1	1137	673	1428	1463	992	1062
ENSG00000004799	PDK4	0	0	0	1	0	0
ENSG00000004809	SLC22A16	4	4	10	4	7	7
ENSG00000004838	ZMYND10	1	2	4	0	4	2
ENSG00000004846	ABCB5	1	0	0	0	1	0
ENSG00000004848	ARX	11	4	26	10	19	15
ENSG00000004864	SLC25A13	152	69	164	131	108	96
ENSG00000004866	ST7	41	24	39	34	25	17
ENSG00000004897	CDC27	1166	509	1232	1271	1115	930
ENSG00000004939	SLC4A1	0	0	0	0	0	0
ENSG00000004948	CALCR	0	0	0	0	1	0
ENSG00000004961	HCCS	191	143	260	302	136	137
ENSG00000004975	DVL2	456	239	568	514	419	445
ENSG00000005001	PRSS22	0	0	0	0	0	0
ENSG00000005007	UPF1	724	330	765	592	622	551
ENSG00000005020	SKAP2	450	189	522	492	438	385
ENSG00000005022	SLC25A5	725	586	1119	1845	617	781
ENSG00000005059	CCDC109B	56	21	49	19	25	19
ENSG00000005073	HOXA11	98	52	111	88	86	67
ENSG00000005075	POLR2J	423	190	490	382	341	298
ENSG00000005100	DHX33	458	223	598	456	505	476
ENSG00000005102	MEOX1	0	0	1	0	0	0
ENSG00000005108	THSD7A	15	6	5	6	3	4
ENSG00000005156	LIG3	345	162	413	356	273	302
ENSG00000005175	RPAP3	381	180	328	440	296	305
ENSG00000005187	ACSM3	22	8	16	15	22	15
ENSG00000005194	CIAPIN1	148	64	168	134	104	111
ENSG00000005206	SPPL2B	319	148	444	240	272	231
ENSG00000005238	FAM214B	17	11	15	16	8	9
ENSG00000005243	COPZ2	4	3	5	2	0	5
ENSG00000005249	PRKAR2B	702	311	668	604	438	388
ENSG00000005302	MSL3	275	135	263	289	229	201
ENSG00000005339	CREBBP	838	364	915	570	555	493
ENSG00000005379	TSPOAP1	234	140	346	392	173	136
ENSG00000005381	MPO	1245	487	1310	718	753	691
ENSG00000005421	PON1	0	0	0	1	0	0
ENSG00000005436	GCFC2	235	96	248	214	221	185
ENSG00000005448	WDR54	1416	640	1212	1461	1324	1235
ENSG00000005469	CROT	16	2	18	15	19	21
ENSG00000005471	ABCB4	100	57	108	86	92	80
ENSG00000005483	KMT2E	1878	695	1656	1291	1403	1187
ENSG00000005486	RHBDD2	151	95	219	147	147	132
ENSG00000005513	SOX8	0	0	0	0	0	0
ENSG00000005700	IBTK	969	490	987	1085	849	751
ENSG00000005801	ZNF195	181	82	149	155	146	124
ENSG00000005810	MYCBP2	1745	613	1593	1259	1580	1202
ENSG00000005812	FBXL3	36	30	38	33	23	40
ENSG00000005844	ITGAL	2193	922	2320	1852	2380	1816
ENSG00000005882	PDK2	19	12	32	8	13	8
ENSG00000005884	ITGA3	2	0	1	0	2	1
ENSG00000005889	ZFX	117	57	135	140	107	86
ENSG00000005893	LAMP2	1808	989	1904	1794	1447	1154
ENSG00000005961	ITGA2B	21	24	20	9	6	10
ENSG00000005981	ASB4	0	0	0	0	0	0
ENSG00000006007	GDE1	734	231	754	590	624	398
ENSG00000006015	C19orf60	1333	693	1616	1026	918	900
ENSG00000006016	CRLF1	3	1	1	1	0	0
ENSG00000006025	OSBPL7	180	79	194	114	124	100
ENSG00000006042	TMEM98	0	0	0	0	0	0
ENSG00000006047	YBX2	0	0	1	0	0	0
ENSG00000006059	KRT33A	0	0	1	0	0	0
ENSG00000006062	MAP3K14	0	1	0	0	1	0
ENSG00000006071	ABCC8	0	0	0	0	0	0
ENSG00000006116	CACNG3	0	0	0	0	0	0
ENSG00000006118	TMEM132A	3	1	3	0	0	4
ENSG00000006125	AP2B1	3936	1360	4007	2625	4571	2808
ENSG00000006128	TAC1	0	0	0	0	0	0
ENSG00000006194	ZNF263	936	310	949	618	766	604
ENSG00000006210	CX3CL1	0	0	2	1	2	1
ENSG00000006282	SPATA20	85	60	128	70	76	72
ENSG00000006283	CACNA1G	1	0	0	0	0	0
ENSG00000006327	TNFRSF12A	12	3	9	8	13	16
ENSG00000006377	DLX6	36	9	21	20	45	19
ENSG00000006432	MAP3K9	4	0	3	0	4	3
ENSG00000006451	RALA	714	263	745	687	596	566
ENSG00000006453	BAIAP2L1	1	0	0	1	1	1
ENSG00000006468	ETV1	17	4	11	6	7	10
ENSG00000006530	AGK	35	12	63	46	41	34
ENSG00000006534	ALDH3B1	2413	788	2108	1195	1943	1492
ENSG00000006555	TTC22	0	1	0	0	2	0
ENSG00000006576	PHTF2	409	167	436	429	420	338
ENSG00000006606	CCL26	0	0	0	0	0	0
ENSG00000006607	FARP2	66	27	75	48	48	43
ENSG00000006611	USH1C	0	0	0	0	0	0
ENSG00000006625	GGCT	1472	1071	2015	3159	1355	1636
ENSG00000006634	DBF4	406	166	411	400	454	381
ENSG00000006638	TBXA2R	149	45	168	226	176	159
ENSG00000006652	IFRD1	171	103	224	183	212	176
ENSG00000006659	LGALS14	0	0	0	0	0	0
ENSG00000006695	COX10	104	97	155	167	112	102
ENSG00000006704	GTF2IRD1	145	55	166	125	146	117
