id	sym	T98G_KO1	T98G_KO2	T98G_KO3	T98G_WT1	T98G_WT2	T98G_WT3
ENSG00000000003	TSPAN6	84	108	108	87	72	81
ENSG00000000005	TNMD	1	0	0	0	0	0
ENSG00000000419	DPM1	538	692	569	619	642	574
ENSG00000000457	SCYL3	146	170	125	135	146	127
ENSG00000000460	C1orf112	275	338	270	308	253	284
ENSG00000000938	FGR	0	0	0	1	0	0
ENSG00000000971	CFH	13	15	16	5	11	11
ENSG00000001036	FUCA2	371	445	406	358	411	366
ENSG00000001084	GCLC	1898	1944	1727	976	1035	1011
ENSG00000001167	NFYA	415	426	429	471	480	484
ENSG00000001460	STPG1	23	28	18	20	30	22
ENSG00000001461	NIPAL3	273	279	245	337	358	326
ENSG00000001497	LAS1L	770	842	784	799	861	715
ENSG00000001561	ENPP4	6	7	2	6	1	6
ENSG00000001617	SEMA3F	47	36	41	93	78	70
ENSG00000001626	CFTR	7	3	4	18	27	31
ENSG00000001629	ANKIB1	1683	1730	1617	1882	1843	1916
ENSG00000001630	CYP51A1	14	9	11	16	18	17
ENSG00000001631	KRIT1	287	258	221	267	285	318
ENSG00000002016	RAD52	59	63	67	95	80	60
ENSG00000002079	MYH16	0	3	2	2	3	0
ENSG00000002330	BAD	250	294	299	338	325	305
ENSG00000002549	LAP3	601	662	692	561	558	595
ENSG00000002586	CD99	0	0	0	0	2	0
ENSG00000002587	HS3ST1	72	89	51	29	24	27
ENSG00000002726	AOC1	0	1	0	3	4	2
ENSG00000002745	WNT16	1	0	0	2	0	0
ENSG00000002746	HECW1	86	117	94	103	100	98
ENSG00000002822	MAD1L1	119	150	144	180	154	138
ENSG00000002834	LASP1	5922	6286	5678	7045	7590	7264
ENSG00000002919	SNX11	183	200	175	212	220	200
ENSG00000002933	TMEM176A	1	0	1	0	1	0
ENSG00000003056	M6PR	1094	1093	1083	1168	1179	1030
ENSG00000003096	KLHL13	0	0	0	0	0	0
ENSG00000003137	CYP26B1	732	682	670	520	464	534
ENSG00000003147	ICA1	0	0	0	0	0	0
ENSG00000003249	DBNDD1	57	58	69	96	131	94
ENSG00000003393	ALS2	265	287	287	327	345	333
ENSG00000003400	CASP10	0	0	1	2	3	2
ENSG00000003402	CFLAR	106	111	87	104	125	127
ENSG00000003436	TFPI	867	898	808	820	907	970
ENSG00000003509	NDUFAF7	243	273	217	249	293	245
ENSG00000003756	RBM5	535	590	575	656	710	635
ENSG00000003987	MTMR7	14	25	20	21	22	28
ENSG00000003989	SLC7A2	259	260	241	178	188	212
ENSG00000004059	ARF5	290	375	317	344	378	298
ENSG00000004139	SARM1	727	742	691	719	661	655
ENSG00000004142	POLDIP2	1756	1847	1730	1870	1952	1764
ENSG00000004399	PLXND1	754	777	724	972	936	909
ENSG00000004455	AK2	2525	2645	2444	2361	2543	2264
ENSG00000004468	CD38	0	1	0	0	0	1
ENSG00000004478	FKBP4	1672	1769	1660	1697	1901	1590
ENSG00000004487	KDM1A	1071	1102	934	1068	1096	1008
ENSG00000004534	RBM6	419	376	343	394	455	421
ENSG00000004660	CAMKK1	105	121	123	137	104	92
ENSG00000004700	RECQL	747	828	736	857	871	827
ENSG00000004776	HSPB6	5	7	6	6	5	5
ENSG00000004777	ARHGAP33	295	308	272	452	368	280
ENSG00000004779	NDUFAB1	454	597	510	553	526	452
ENSG00000004799	PDK4	1	0	0	2	0	1
ENSG00000004809	SLC22A16	0	0	0	0	0	0
ENSG00000004838	ZMYND10	8	5	8	12	11	8
ENSG00000004846	ABCB5	0	0	0	0	1	0
ENSG00000004848	ARX	0	0	0	0	0	0
